lot_id,product_family,customer_tier,current_process_id,current_process_name,next_process_id,assigned_tool_id,wafer_quantity,lot_value_usd,priority,status,entry_time,due_date,steps_completed,total_steps
LOT-0124,NEX-PMIC-CORE,Tier-1 Hyperscale AI,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-01,25,30000,MEDIUM,IN_QUEUE,2026-09-14 02:00:00,2026-09-20 02:00:00,5,10
LOT-0125,NEX-MCU-AUTO,Aerospace Defense,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,75,48750,MEDIUM,PROCESSING,2026-09-14 12:00:00,2026-09-17 16:00:00,5,10
LOT-0126,NEX-MCU-AUTO,Tier-1 Automotive,PRC-05,Ion Implantation,PRC-06,IMP-01,25,23750,MEDIUM,IN_QUEUE,2026-09-12 01:00:00,2026-09-19 08:00:00,4,10
LOT-0127,NEX-RF-TRANS,Industrial IoT,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-01,75,48750,CRITICAL,IN_QUEUE,2026-09-12 11:00:00,2026-09-17 07:00:00,2,10
LOT-0128,NEX-PMIC-CORE,Aerospace Defense,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-04,125,81250,HIGH,PROCESSING,2026-09-13 14:00:00,2026-09-18 07:00:00,5,10
LOT-0129,NEX-MEM-HBM,Industrial IoT,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-01,25,16250,LOW,IN_QUEUE,2026-09-14 19:00:00,2026-09-24 05:00:00,3,10
LOT-0130,NEX-PMIC-CORE,Tier-1 Hyperscale AI,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-02,125,150000,CRITICAL,PROCESSING,2026-09-11 09:00:00,2026-09-19 03:00:00,7,10
LOT-0131,NEX-AI-ACCEL,Aerospace Defense,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,125,81250,HIGH,IN_QUEUE,2026-09-11 17:00:00,2026-09-26 21:00:00,2,10
LOT-0132,NEX-MEM-HBM,Tier-1 Hyperscale AI,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,100,120000,HIGH,PROCESSING,2026-09-12 23:00:00,2026-09-23 18:00:00,5,10
LOT-0133,NEX-MEM-HBM,Mobile Flagship,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-03,100,65000,HIGH,PROCESSING,2026-09-14 20:00:00,2026-09-22 12:00:00,5,10
LOT-0134,NEX-PMIC-CORE,Mobile Flagship,PRC-02,Oxidation & Thermal,PRC-03,THM-01,25,16250,HIGH,PROCESSING,2026-09-12 05:00:00,2026-09-29 12:00:00,1,10
LOT-0135,NEX-PMIC-CORE,Industrial IoT,PRC-05,Ion Implantation,PRC-06,IMP-01,100,65000,HIGH,EXPEDITED,2026-09-13 13:00:00,2026-09-28 09:00:00,4,10
LOT-0136,NEX-RF-TRANS,Tier-1 Hyperscale AI,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-02,50,60000,MEDIUM,PROCESSING,2026-09-14 14:00:00,2026-09-18 19:00:00,3,10
LOT-0137,NEX-AI-ACCEL,Aerospace Defense,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-01,100,65000,MEDIUM,PROCESSING,2026-09-11 23:00:00,2026-09-27 05:00:00,6,10
LOT-0138,NEX-MCU-AUTO,Mobile Flagship,PRC-09,In-line Metrology & Defect Scan,PRC-10,MET-03,75,48750,CRITICAL,EXPEDITED,2026-09-12 04:00:00,2026-09-18 18:00:00,8,10
LOT-0139,NEX-MEM-HBM,Tier-1 Automotive,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-01,50,47500,MEDIUM,IN_QUEUE,2026-09-12 23:00:00,2026-09-19 07:00:00,5,10
LOT-0140,NEX-AI-ACCEL,Mobile Flagship,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-02,75,48750,HIGH,PROCESSING,2026-09-14 09:00:00,2026-09-30 02:00:00,3,10
LOT-0141,NEX-MEM-HBM,Industrial IoT,PRC-02,Oxidation & Thermal,PRC-03,THM-01,150,97500,CRITICAL,PROCESSING,2026-09-13 18:00:00,2026-09-19 23:00:00,1,10
LOT-0142,NEX-MEM-HBM,Tier-1 Automotive,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,25,23750,HIGH,PROCESSING,2026-09-12 09:00:00,2026-09-22 05:00:00,2,10
LOT-0143,NEX-MCU-AUTO,Aerospace Defense,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-01,50,32500,HIGH,IN_QUEUE,2026-09-14 11:00:00,2026-09-17 08:00:00,5,10
LOT-0144,NEX-MCU-AUTO,Industrial IoT,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-02,75,48750,CRITICAL,IN_QUEUE,2026-09-12 12:00:00,2026-09-19 13:00:00,6,10
LOT-0145,NEX-AI-ACCEL,Tier-1 Automotive,PRC-05,Ion Implantation,PRC-06,IMP-02,25,23750,HIGH,IN_QUEUE,2026-09-13 12:00:00,2026-09-23 08:00:00,4,10
LOT-0146,NEX-RF-TRANS,Mobile Flagship,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-04,150,97500,MEDIUM,IN_QUEUE,2026-09-14 07:00:00,2026-09-18 20:00:00,5,10
LOT-0147,NEX-PMIC-CORE,Tier-1 Automotive,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-02,150,142500,LOW,IN_QUEUE,2026-09-13 01:00:00,2026-09-23 11:00:00,6,10
LOT-0148,NEX-AI-ACCEL,Tier-1 Hyperscale AI,PRC-05,Ion Implantation,PRC-06,IMP-02,75,90000,MEDIUM,IN_QUEUE,2026-09-12 09:00:00,2026-09-22 13:00:00,4,10
LOT-0149,NEX-MCU-AUTO,Tier-1 Hyperscale AI,PRC-05,Ion Implantation,PRC-06,IMP-02,75,90000,MEDIUM,IN_QUEUE,2026-09-14 06:00:00,2026-09-20 11:00:00,4,10
LOT-0150,NEX-MEM-HBM,Industrial IoT,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-01,50,32500,LOW,PROCESSING,2026-09-11 13:00:00,2026-09-25 02:00:00,5,10
LOT-0151,NEX-MEM-HBM,Aerospace Defense,PRC-09,In-line Metrology & Defect Scan,PRC-10,MET-03,150,97500,MEDIUM,IN_QUEUE,2026-09-14 20:00:00,2026-09-23 04:00:00,8,10
LOT-0152,NEX-MEM-HBM,Mobile Flagship,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-03,75,48750,MEDIUM,IN_QUEUE,2026-09-15 00:00:00,2026-09-25 10:00:00,3,10
LOT-0153,NEX-MEM-HBM,Tier-1 Automotive,PRC-01,Wafer Prep & Clean,PRC-02,CLN-02,25,23750,MEDIUM,IN_QUEUE,2026-09-12 02:00:00,2026-09-27 03:00:00,0,10
LOT-0154,NEX-MEM-HBM,Aerospace Defense,PRC-05,Ion Implantation,PRC-06,IMP-01,100,65000,LOW,IN_QUEUE,2026-09-12 12:00:00,2026-09-27 14:00:00,4,10
LOT-0155,NEX-AI-ACCEL,Mobile Flagship,PRC-02,Oxidation & Thermal,PRC-03,THM-01,100,65000,CRITICAL,PROCESSING,2026-09-13 21:00:00,2026-09-17 00:00:00,1,10
LOT-0156,NEX-MEM-HBM,Tier-1 Hyperscale AI,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-04,125,150000,MEDIUM,HOLD_METROLOGY,2026-09-13 00:00:00,2026-09-22 19:00:00,5,10
LOT-0157,NEX-MEM-HBM,Tier-1 Automotive,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-01,150,142500,MEDIUM,PROCESSING,2026-09-13 16:00:00,2026-09-22 11:00:00,6,10
LOT-0158,NEX-RF-TRANS,Mobile Flagship,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,125,81250,LOW,PROCESSING,2026-09-13 13:00:00,2026-09-19 02:00:00,2,10
LOT-0159,NEX-RF-TRANS,Tier-1 Automotive,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-04,50,47500,MEDIUM,IN_QUEUE,2026-09-14 12:00:00,2026-09-22 01:00:00,9,10
LOT-0160,NEX-MCU-AUTO,Aerospace Defense,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-01,150,97500,MEDIUM,IN_QUEUE,2026-09-14 01:00:00,2026-09-22 08:00:00,5,10
LOT-0161,NEX-AI-ACCEL,Tier-1 Hyperscale AI,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-04,50,60000,HIGH,IN_QUEUE,2026-09-12 12:00:00,2026-09-19 10:00:00,3,10
LOT-0162,NEX-MCU-AUTO,Aerospace Defense,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-01,150,97500,HIGH,IN_QUEUE,2026-09-14 05:00:00,2026-09-20 03:00:00,6,10
LOT-0163,NEX-MEM-HBM,Industrial IoT,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-01,150,97500,HIGH,PROCESSING,2026-09-11 22:00:00,2026-09-23 05:00:00,7,10
LOT-0164,NEX-MCU-AUTO,Tier-1 Hyperscale AI,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,100,120000,HIGH,HOLD_METROLOGY,2026-09-13 05:00:00,2026-09-21 23:00:00,2,10
LOT-0165,NEX-MCU-AUTO,Industrial IoT,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-04,100,65000,MEDIUM,IN_QUEUE,2026-09-14 03:00:00,2026-09-26 00:00:00,5,10
LOT-0166,NEX-PMIC-CORE,Industrial IoT,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-01,75,48750,CRITICAL,HOLD_METROLOGY,2026-09-14 13:00:00,2026-09-19 01:00:00,6,10
LOT-0167,NEX-MCU-AUTO,Aerospace Defense,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-01,75,48750,HIGH,IN_QUEUE,2026-09-12 19:00:00,2026-09-19 21:00:00,2,10
LOT-0168,NEX-MCU-AUTO,Aerospace Defense,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-01,100,65000,CRITICAL,EXPEDITED,2026-09-15 01:00:00,2026-09-18 15:00:00,7,10
LOT-0169,NEX-MEM-HBM,Tier-1 Hyperscale AI,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-01,150,180000,MEDIUM,IN_QUEUE,2026-09-11 11:00:00,2026-09-19 09:00:00,2,10
LOT-0170,NEX-MCU-AUTO,Tier-1 Automotive,PRC-08,Chemical Mechanical Polishing (CMP),PRC-09,CMP-02,100,95000,MEDIUM,IN_QUEUE,2026-09-12 06:00:00,2026-09-17 16:00:00,7,10
LOT-0171,NEX-MCU-AUTO,Mobile Flagship,PRC-09,In-line Metrology & Defect Scan,PRC-10,MET-03,125,81250,HIGH,IN_QUEUE,2026-09-12 23:00:00,2026-09-20 17:00:00,8,10
LOT-0172,NEX-MCU-AUTO,Industrial IoT,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-04,25,16250,CRITICAL,EXPEDITED,2026-09-13 15:00:00,2026-09-17 04:00:00,5,10
LOT-0173,NEX-RF-TRANS,Tier-1 Hyperscale AI,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-03,50,60000,MEDIUM,IN_QUEUE,2026-09-14 20:00:00,2026-09-28 05:00:00,3,10
LOT-0174,NEX-RF-TRANS,Tier-1 Automotive,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-01,100,95000,LOW,EXPEDITED,2026-09-15 02:00:00,2026-09-27 20:00:00,9,10
LOT-0175,NEX-RF-TRANS,Tier-1 Automotive,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-01,75,71250,HIGH,PROCESSING,2026-09-14 11:00:00,2026-09-30 02:00:00,3,10
LOT-0176,NEX-MCU-AUTO,Industrial IoT,PRC-01,Wafer Prep & Clean,PRC-02,CLN-02,150,97500,HIGH,PROCESSING,2026-09-14 20:00:00,2026-09-28 23:00:00,0,10
LOT-0177,NEX-RF-TRANS,Tier-1 Automotive,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-04,25,23750,HIGH,PROCESSING,2026-09-13 13:00:00,2026-09-29 14:00:00,5,10
LOT-0178,NEX-AI-ACCEL,Tier-1 Hyperscale AI,PRC-05,Ion Implantation,PRC-06,IMP-02,75,90000,CRITICAL,PROCESSING,2026-09-11 17:00:00,2026-09-18 19:00:00,4,10
LOT-0179,NEX-MEM-HBM,Industrial IoT,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-01,75,48750,HIGH,PROCESSING,2026-09-13 09:00:00,2026-09-28 22:00:00,2,10
LOT-0180,NEX-AI-ACCEL,Aerospace Defense,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-04,150,97500,HIGH,PROCESSING,2026-09-12 21:00:00,2026-09-21 10:00:00,9,10
LOT-0181,NEX-RF-TRANS,Tier-1 Automotive,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,125,118750,HIGH,PROCESSING,2026-09-12 19:00:00,2026-09-18 18:00:00,5,10
LOT-0182,NEX-RF-TRANS,Mobile Flagship,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-04,50,32500,MEDIUM,PROCESSING,2026-09-11 22:00:00,2026-09-24 09:00:00,5,10
LOT-0183,NEX-RF-TRANS,Tier-1 Automotive,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-03,150,142500,LOW,PROCESSING,2026-09-12 11:00:00,2026-09-19 05:00:00,9,10
LOT-0184,NEX-RF-TRANS,Aerospace Defense,PRC-07,Physical Vapor Deposition (PVD),PRC-08,PVD-01,25,16250,CRITICAL,EXPEDITED,2026-09-13 06:00:00,2026-09-19 09:00:00,6,10
LOT-0185,NEX-AI-ACCEL,Industrial IoT,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-01,125,81250,HIGH,IN_QUEUE,2026-09-12 03:00:00,2026-09-22 19:00:00,3,10
LOT-0186,NEX-MCU-AUTO,Mobile Flagship,PRC-02,Oxidation & Thermal,PRC-03,THM-02,100,65000,HIGH,IN_QUEUE,2026-09-12 13:00:00,2026-09-20 11:00:00,1,10
LOT-0187,NEX-MEM-HBM,Industrial IoT,PRC-05,Ion Implantation,PRC-06,IMP-01,75,48750,MEDIUM,IN_QUEUE,2026-09-14 03:00:00,2026-09-21 03:00:00,4,10
LOT-0188,NEX-RF-TRANS,Industrial IoT,PRC-02,Oxidation & Thermal,PRC-03,THM-01,100,65000,HIGH,EXPEDITED,2026-09-11 15:00:00,2026-09-19 05:00:00,1,10
LOT-0189,NEX-MCU-AUTO,Mobile Flagship,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-01,125,81250,MEDIUM,PROCESSING,2026-09-13 06:00:00,2026-09-20 06:00:00,3,10
LOT-0190,NEX-PMIC-CORE,Tier-1 Hyperscale AI,PRC-05,Ion Implantation,PRC-06,IMP-01,50,60000,MEDIUM,IN_QUEUE,2026-09-12 03:00:00,2026-09-29 23:00:00,4,10
LOT-0191,NEX-MEM-HBM,Tier-1 Automotive,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-02,125,118750,LOW,EXPEDITED,2026-09-12 09:00:00,2026-09-21 20:00:00,3,10
LOT-0192,NEX-MCU-AUTO,Mobile Flagship,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-04,125,81250,CRITICAL,IN_QUEUE,2026-09-12 06:00:00,2026-09-16 22:00:00,3,10
LOT-0193,NEX-MCU-AUTO,Tier-1 Automotive,PRC-06,Chemical Vapor Deposition (CVD),PRC-07,CVD-02,50,47500,HIGH,IN_QUEUE,2026-09-14 08:00:00,2026-09-19 00:00:00,5,10
LOT-0194,NEX-PMIC-CORE,Aerospace Defense,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,50,32500,HIGH,IN_QUEUE,2026-09-13 17:00:00,2026-09-21 10:00:00,2,10
LOT-0195,NEX-PMIC-CORE,Aerospace Defense,PRC-02,Oxidation & Thermal,PRC-03,THM-02,125,81250,MEDIUM,PROCESSING,2026-09-14 09:00:00,2026-09-27 13:00:00,1,10
LOT-0196,NEX-AI-ACCEL,Mobile Flagship,PRC-03,Photolithography (EUV/DUV),PRC-04,LITH-03,150,97500,LOW,PROCESSING,2026-09-14 18:00:00,2026-09-26 09:00:00,2,10
LOT-0197,NEX-MEM-HBM,Aerospace Defense,PRC-01,Wafer Prep & Clean,PRC-02,CLN-02,150,97500,HIGH,PROCESSING,2026-09-11 20:00:00,2026-09-24 03:00:00,0,10
LOT-0198,NEX-AI-ACCEL,Industrial IoT,PRC-05,Ion Implantation,PRC-06,IMP-02,100,65000,HIGH,IN_QUEUE,2026-09-14 08:00:00,2026-09-21 22:00:00,4,10
LOT-0199,NEX-RF-TRANS,Aerospace Defense,PRC-04,Plasma & Reactive Etch,PRC-05,ETCH-04,100,65000,HIGH,PROCESSING,2026-09-13 08:00:00,2026-09-19 18:00:00,3,10
LOT-0200,NEX-RF-TRANS,Tier-1 Automotive,PRC-10,Wafer Test & Final Packaging,COMPLETED,PKG-02,75,71250,MEDIUM,IN_QUEUE,2026-09-12 19:00:00,2026-09-22 15:00:00,9,10
